Fire_Name,County,City,Lat,Lng,Start_Date,End_Date,Agency,Acres,Cause
RICHBAR,Kern,Bakersfield,35.3739,-119.0195,6/7/2008,6/8/2008,USFS,312,ARSON
ACOMA,San Bernardino,San Bernardino,34.1083,-117.2898,6/7/2008,6/10/2008,BLM,356,UI
INDIANS,Monterey,King City,36.2127,-121.1261,6/8/2008,7/10/2008,USFS,81378,CAMPFIRE
PINE,Sonoma,Sonoma,38.2931,-122.4577,6/10/2008,6/13/2008,CDF,989,UNDETERMINE
LAGRANGE,Tuolumne,Tuolumne,37.9608,-120.2375,6/10/2008,6/11/2008,CDF,1346,EQUIP
Ophir,Butte,Paradise,39.7596,-121.622,6/10/2008,6/13/2008,LOCAL,1600,UI
41,Madera,Madera Acres,37.0191,-120.0669,6/10/2008,6/11/2008,CDF,3300,EQUIP
JACKSON,Sacramento,Sacramento,38.5816,-121.4944,6/10/2008,6/12/2008,LOCAL,6400,UI
MARTIN,Santa Cruz,Felton,37.0513,-122.0733,6/11/2008,6/28/2008,CDF,520,CAMPFIRE
HUMBOLDT,Butte,Paradise,39.7596,-121.622,6/11/2008,6/21/2008,CDF,23344,ARSON
WHISKEY,Tehama,Red Bluff,40.1785,-122.2359,6/12/2008,6/22/2008,USFS,7783,MISC.
TRABING,Santa Cruz,Felton,37.0513,-122.0733,6/20/2008,6/24/2008,CDF,630,EQUIP
ALBION RIVER LIGHTNING,Mendocino,Willits,39.4096,-123.3556,6/20/2008,6/30/2008,CDF,1000,LIGHTNING
MAD COMPLEX,Humboldt,Fortuna,40.5974,-124.1561,6/20/2008,7/21/2008,USFS,3705,LIGHTNING
HELLS HALF COMPLEX,Humboldt,Fortuna,40.5974,-124.1561,6/20/2008,7/28/2008,USFS,15146,LIGHTNING
UKONOM-SOUTH COMPLEX,Humboldt,Fortuna,40.5974,-124.1561,6/20/2008,9/15/2008,USFS,29327,LIGHTNING
LIME COMPLEX,Trinity,Hayfork,40.5543,-123.1831,6/20/2008,8/15/2008,USFS/BLM,98715,LIGHTNING
BRUSHY 3 LIGHTNING,Mendocino,Willits,39.4096,-123.3556,6/21/2008,7/13/2008,CDF,327,LIGHTNING
OSO LIGHTNING,Mendocino,Willits,39.4096,-123.3556,6/21/2008,7/13/2008,CDF,373,LIGHTNING
COLEMAN FISH HATCHERY R3,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/2/2008,CDF,388,LIGHTNING
BRUSHY 1  LIGHTNING,Mendocino,Willits,39.4096,-123.3556,6/21/2008,7/9/2008,CDF,391,LIGHTNING
SHAMROCK EAST LIGHTNING,Mendocino,Willits,39.4096,-123.3556,6/21/2008,7/12/2008,CDF,469,LIGHTNING
DONKEY MINE RD/OAK RU,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/2/2008,CDF,557,LIGHTNING
IGO 13,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/24/2008,CDF,600,LIGHTNING
SILVER KNOB,Madera,Madera Acres,37.0191,-120.0669,6/21/2008,7/2/2008,USFS,600,LIGHTNING
BREAKNECK,Butte,Paradise,39.7596,-121.622,6/21/2008,7/9/2008,CDF,715,LIGHTNING
HUMMINGBIRD,Santa Clara,Saratoga,37.2638,-122.0231,6/21/2008,6/24/2008,CDF,750,LIGHTNING
LYNCH,Butte,Paradise,39.7596,-121.622,6/21/2008,6/21/2008,CDF,800,MISC.
PARADISE,Humboldt,Fortuna,40.5974,-124.1561,6/21/2008,8/1/2008,CDF,1076,LIGHTNING
STEIN,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/7/2008,CDF,1148,LIGHTNING
IGO 15,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/24/2008,CDF,1200,LIGHTNING
EO2A,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/6/2008,CDF,1200,LIGHTNING
FLEA VALLEY,Butte,Paradise,39.7596,-121.622,6/21/2008,6/21/2008,CDF,1248,LIGHTNING
FLEA VALLEY #2,Butte,Paradise,39.7596,-121.622,6/21/2008,6/21/2008,CDF,1248,MISC.
LEWISTON 8,Trinity,Hayfork,40.5543,-123.1831,6/21/2008,7/23/2008,CDF,1311,LIGHTNING
WHITMORE RD/OLD CROW C2,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/15/2008,CDF,2054,LIGHTNING
OLIVER,Madera,Madera Acres,37.0191,-120.0669,6/21/2008,6/26/2008,USFS,2200,LIGHTNING
IGO 17,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/24/2008,CDF,2400,LIGHTNING
NORTH MOUNTAIN,Tuolumne,Tuolumne,37.9608,-120.2375,6/21/2008,7/3/2008,USFS,2889,LIGHTNING
JACK SMITH LIGHTNING,Mendocino,Willits,39.4096,-123.3556,6/21/2008,7/13/2008,CDF,3000,LIGHTNING
SQUAW 1 LIGHTNING 2,Mendocino,Willits,39.4096,-123.3556,6/21/2008,7/13/2008,CDF,3000,LIGHTNING
DAUGHERTY/GATE LIGHTNING,Mendocino,Willits,39.4096,-123.3556,6/21/2008,7/13/2008,CDF,3000,LIGHTNING
(MERGED WITH YOLLA BOLLY COMPLEX),Mendocino,Willits,39.4096,-123.3556,6/21/2008,6/29/2008,USFS,3000,LIGHTNING
POPCORN,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,6/22/2008,CDF,3000,LIGHTNING
WAGERS LIGHTNING,Mendocino,Willits,39.4096,-123.3556,6/21/2008,6/21/2008,CDF,3000,LIGHTNING
WEST BRANCH,Butte,Paradise,39.7596,-121.622,6/21/2008,6/21/2008,CDF,3206,LIGHTNING
BROWN COMPLEX,San Benito,Pinnacles,36.5308,-121.1452,6/21/2008,6/24/2008,CDF,3870,LIGHTNING
STA 57 ONO CDF IGO 2,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/24/2008,CDF,4000,LIGHTNING
IGO 6,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/24/2008,CDF,4200,LIGHTNING
IGO 18,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/24/2008,CDF,4200,LIGHTNING
WILD,NAPA,Napa,38.2971,-122.2856,6/21/2008,6/26/2008,CDF,4200,UI
YUBA RIVER COMPLEX,Yuba,Yuba City,39.1404,-121.617,6/21/2008,7/15/2008,USFS,4254,LIGHTNING
MALLO B,Mendocino,Willits,39.4096,-123.3556,6/21/2008,7/17/2008,CDF,4466,LIGHTNING
IGO 16,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/24/2008,CDF,4800,LIGHTNING
MOON,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,8/9/2008,CDF,6030,LIGHTNING
WHISKEYTOWN COMPLEX,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/19/2008,NPS,6420,LIGHTNING
RED MOUNTAIN 1,Mendocino,Willits,39.4096,-123.3556,6/21/2008,8/1/2008,CDF,7515,LIGHTNING
PETERSON COMPLEX,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,7/2/2008,USFS,7842,LIGHTNING
SODA COMPLEX,Lake,Lakeport,39.043,-122.9159,6/21/2008,7/26/2008,USFS,8632,LIGHTNING
FREY,Butte,Paradise,39.7596,-121.622,6/21/2008,6/21/2008,CDF,10000,MISC.
PLATINA 4,Trinity,Hayfork,40.5543,-123.1831,6/21/2008,7/4/2008,CDF,12980,LIGHTNING
CUB COMPLEX,Lassen,Susanville,40.4163,-120.6531,6/21/2008,7/20/2008,USFS,19718,LIGHTNING
AMERICAN RIVER COMPLEX,Placer,Last Chance,39.1113,-120.6247,6/21/2008,7/30/2008,USFS,20541,LIGHTNING
LAKEHEAD,Shasta,Shasta Lake,40.68,-122.3627,6/21/2008,8/23/2008,CDF,27936,LIGHTNING
CANYON COMPLEX,Plumas,East Quincy,39.9341,-120.8981,6/21/2008,9/30/2008,USFS,47680,LIGHTNING
SISKIYOU / BLUE 2 COMPLEX,Siskiyou,Yreka,41.7326,-122.6378,6/21/2008,6/21/2008,USFS,82186,LIGHTNING
BASIN COMPLEX,Monterey,King City,36.2127,-121.1261,6/21/2008,7/27/2008,USFS,162818,LIGHTNING
QUARRY,San Mateo,San Mateo,37.544,-122.3067,6/22/2008,6/29/2008,CDF,300,UI
ANTELOPE,Tehama,Red Bluff,40.1785,-122.2359,6/22/2008,6/26/2008,USFS,600,LIGHTNING
CLIFF RIDGE LIGHTNING,Mendocino,Willits,39.4096,-123.3556,6/22/2008,7/12/2008,CDF,1000,LIGHTNING
VENTURE,Shasta,Shasta Lake,40.68,-122.3627,6/22/2008,7/4/2008,CDF,1912,LIGHTNING
MILL COMPLEX,Tehama,Red Bluff,40.1785,-122.2359,6/22/2008,6/29/2008,USFS,2100,LIGHTNING
ORR SPRINGS RD UKV 2,Mendocino,Willits,39.4096,-123.3556,6/22/2008,7/10/2008,CDF,3000,LIGHTNING
POPCORN,Lassen,Susanville,40.4163,-120.6531,6/22/2008,7/8/2008,CDF,3000,LIGHTNING
WALKER,Colusa,Colusa,39.2141,-122.0093,6/22/2008,6/29/2008,CDF,15000,HUMAN
BEAR WALLOW COMPLEX,Siskiyou,Yreka,41.7326,-122.6378,6/22/2008,9/30/2008,USFS,192038,LIGHTNING
OLIVER,Mariposa,Yosemite Valley,37.7344,-119.6065,6/23/2008,7/6/2008,CDF,2789,LIGHTNING
CORRAL,Lassen,Susanville,40.4163,-120.6531,6/23/2008,7/7/2008,CDF,12500,LIGHTNING
MILL CREEK,Tehama,Red Bluff,40.1785,-122.2359,6/24/2008,7/1/2008,CDF,13580,LIGHTNING
JUAN CREEK LIGHTNING,Mendocino,Willits,39.4096,-123.3556,6/27/2008,7/15/2008,CDF,450,UI
PIUTE,Kern,Bakersfield,35.3739,-119.0195,6/28/2008,7/25/2008,USFS,37026,MISC.
HARDY,Mendocino,Willits,39.4096,-123.3556,6/30/2008,6/30/2008,CDF,5581,LIGHTNING
WIGGLE,Tulare,Camp Nelson,36.1427,-118.6093,7/1/2008,7/2/2008,CDF,450,ARSON
GAP,Santa Barbara,Santa Barbara,34.4221,-119.7027,7/1/2008,7/28/2008,USFS,9443,MISC.
DIXIE,Lassen,Susanville,40.4163,-120.6531,7/2/2008,7/4/2008,CDF,350,LIGHTNING
ORR SPRINGS RD ORR 3,Mendocino,Willits,39.4096,-123.3556,7/3/2008,7/3/2008,CDF,3000,LIGHTNING
BRUSHY LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/15/2008,CDF,391,LIGHTNING
BURGER CK LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/12/2008,CDF,528,LIGHTNING
CASOOSE CREEK LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/4/2008,CDF,550,LIGHTNING
TRAVIS 3 LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/4/2008,CDF,750,LIGHTNING
JAMESON LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/13/2008,CDF,925,LIGHTNING
HORSE LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/8/2008,CDF,1000,UI
LOST PIPE LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/10/2008,CDF,1200,LIGHTNING
LOW GAP 1 LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/15/2008,CDF,1700,UI
JACK SMITH LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/15/2008,CDF,2000,UI
BUTCH LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/4/2008,CDF,2800,LIGHTNING
MONTGOMERY FLAT LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/15/2008,CDF,3000,LIGHTNING
ORR SERIES LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/13/2008,CDF,3000,LIGHTNING
ALBION LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/4/2008,7/8/2008,CDF,3000,LIGHTNING
TRAVIS 1 LIGHTNING,Mendocino,Willits,39.4096,-123.3556,7/5/2008,7/5/2008,CDF,650,LIGHTNING
ALDER CREEK BEACH,Mendocino,Willits,39.4096,-123.3556,7/7/2008,7/7/2008,CDF,1000,LIGHTNING
DINO IC,Merced,Merced,37.303,-120.4844,7/10/2008,7/11/2008,CDF,800,UNDETERMINE
TEHIPITE,Fresno,Fresno,36.7394,-119.7849,7/19/2008,11/11/2008,NPS,11596,LIGHTNING
HWY 152 E/ROMERO VI 113,Merced,Merced,37.303,-120.4844,7/21/2008,7/22/2008,CDF,700,UNDETERMINE
"PANTHER (transferred to the
Klamath Theater)",Siskiyou,Yreka,41.7326,-122.6378,7/24/2008,9/30/2008,USFS,72344,LIGHTNING
RICH,Plumas,East Quincy,39.9341,-120.8981,7/29/2008,8/10/2008,USFS,6112,RAILROAD
SHERWIN,Mono,Mammoth Lakes,37.6433,-118.9669,8/3/2008,8/8/2008,USFS,300,HUMAN
CRAIG,Butte,Paradise,39.7596,-121.622,8/3/2008,8/11/2008,CDF,2001,UI
TURKEY,Monterey,King City,36.2127,-121.1261,8/7/2008,8/8/2008,CDF,400,POWER EQUIP
SMOKEY,Butte,Paradise,39.7596,-121.622,8/13/2008,8/13/2008,CDF,1324,LIGHTNING
RIM,Butte,Paradise,39.7596,-121.622,8/13/2008,8/13/2008,CDF,1651,LIGHTNING
EMPIRE,Butte,Paradise,39.7596,-121.622,8/13/2008,8/3/2008,CDF,2000,LIGHTNING
CAMP ( BELDON & PIT),Butte,Paradise,39.7596,-121.622,8/13/2008,8/13/2008,CDF,47647,LIGHTNING
RODEO 2,Tulare,Camp Nelson,36.1427,-118.6093,8/14/2008,8/15/2008,CDF,500,UNDETERMINE
RODEO,Tulare,Camp Nelson,36.1427,-118.6093,8/14/2008,8/14/2008,CDF,500,UNDETERMINE
ELK,Tulare,Camp Nelson,36.1427,-118.6093,8/14/2008,8/15/2008,CDF,600,ARSON
SLINKARD,Siskiyou,Yreka,41.7326,-122.6378,8/17/2008,8/21/2008,USFS,374,LIGHTNING
JACK,Siskiyou,Yreka,41.7326,-122.6378,8/17/2008,8/22/2008,NPS,6900,LIGHTNING
AVENAL,Fresno,Fresno,36.7394,-119.7849,8/19/2008,8/20/2008,CDF,946,UI
GLADDING,Placer,Last Chance,39.1113,-120.6247,9/1/2008,9/3/2008,CDF,1000,UI
ELMORE,Shasta,Shasta Lake,40.68,-122.3627,9/7/2008,9/9/2008,USFS,343,ARSON
GULCH,Shasta,Shasta Lake,40.68,-122.3627,9/7/2008,9/11/2008,USFS,2847,EQUIP
DEERHORN,Humboldt,Fortuna,40.5974,-124.1561,9/8/2008,9/14/2008,USFS,381,UI
HIDDEN,Tulare,Camp Nelson,36.1427,-118.6093,9/10/2008,9/30/2008,NP,3668,LIGHTNING
ROBLAR,San Diego,San Diego,32.7174,-117.1628,9/25/2008,9/29/2008,MIL,400,MISC.
CHALK,Monterey,King City,36.2127,-121.1261,9/25/2008,10/29/2008,USFS,16269,MISC.
DOME ROCK,Tuolumne,Tuolumne,37.9608,-120.2375,9/30/2008,11/15/2008,USFS,919,LIGHTNING
NOVEMBER,San Diego,San Diego,32.7174,-117.1628,10/8/2008,10/9/2008,MIL,1400,HUMAN
DEER,NAPA,Napa,38.2971,-122.2856,10/10/2008,10/14/2008,CDF,300,EQUIP
ANGEL,Marin,Novato,38.1062,-122.5682,10/12/2008,10/14/2008,CDF/CC,303,UI
MAREK,Los Angeles,Los Angeles,34.0549,-118.2445,10/12/2008,10/16/2008,USFS,4824,MISC.
JULIETT,San Diego,San Diego,32.7174,-117.1628,10/13/2008,10/17/2008,MIL,4026,UI
SESNON,Los Angeles,Los Angeles,34.0549,-118.2445,10/13/2008,10/18/2008,CDF/CC,14703,UI
WAWONA NW,Mariposa,Yosemite Valley,37.7344,-119.6065,10/14/2008,10/19/2008,NP,450,HUMAN
LONG,Butte,Paradise,39.7596,-121.622,10/23/2008,10/23/2008,CDF,420,LIGHTNING
LACKERMAN,Butte,Paradise,39.7596,-121.622,10/23/2008,10/23/2008,CDF,1310,LIGHTNING
TEA INCIDENT,Santa Barbara,Santa Barbara,34.4221,-119.7027,11/13/2008,11/17/2008,CDF/CC,1940,CAMPFIRE
SAYRE,Los Angeles,Los Angeles,34.0549,-118.2445,11/14/2008,11/21/2008,CDF/CC,11262,MISC.
FREEWAY,Riverside,Riverside,33.9534,-117.3962,11/15/2008,11/22/2008,CDF,30305,MISC.
FORT,San Bernardino,San Bernardino,34.1083,-117.2898,2/5/2009,2/7/2009,CAL FIRE,945,DEBRIS
JESUSITA,Santa Barbara,Santa Barbara,34.4221,-119.7027,5/5/2009,5/20/2009,USFS,8733,UI
MUSTANG,Stanislaus,Modesto,37.6391,-120.9969,5/13/2009,5/16/2009,CAL FIRE,570,DEBRIS
LOST HORSE,Riverside,Riverside,33.9534,-117.3962,5/24/2009,5/26/2009,NPS,450,HUMAN
OLIVER,Riverside,Riverside,33.9534,-117.3962,5/27/2009,5/27/2009,CAL FIRE,500,OTHER
TUU LIGHTNING COMPLEX,Tulare,Camp Nelson,36.1427,-118.6093,5/28/2009,5/31/2009,CAL FIRE,485,LIGHTNING
GROUSE,Mariposa,Yosemite Valley,37.7344,-119.6065,5/30/2009,7/13/2009,USFS,3047,LIGHTNING
HARDEN,Tuolumne,Tuolumne,37.9608,-120.2375,6/8/2009,7/11/2009,USFS,1661,LIGHTNING
SHOTGUN,Tulare,Camp Nelson,36.1427,-118.6093,6/17/2009,7/11/2009,USFS,900,LIGHTNING
EXPLOSIVE,San Joaquin,Stockton,37.9577,-121.2908,6/19/2009,6/19/2009,CAL FIRE,2163,EQUIPMENT
PARKWAY,Kern,Bakersfield,35.3739,-119.0195,6/22/2009,6/22/2009,CAL FIRE/C,690,EQUIPMENT
ROCK,Calaveras,Angels Camp,38.0683,-120.5397,6/28/2009,6/28/2009,CAL FIRE,410,POWERLINE
RUMSEY,Yolo,Yolo,38.7318,-121.8078,6/29/2009,7/2/2009,CAL FIRE,716,UNDETERMINED
LION COMPLEX,Tulare,Camp Nelson,36.1427,-118.6093,6/30/2009,8/21/2009,USFS,3988,LIGHTNING
BACKBONE,Trinity,Hayfork,40.5543,-123.1831,7/1/2009,7/24/2009,USFS,6324,LIGHTNING
SULPHUR,Ventura,Ventura,34.2783,-119.2932,7/11/2009,7/13/2009,USFS,350,UI
YANKEE,San Diego,San Diego,32.7174,-117.1628,7/11/2009,7/14/2009,MIL,2200,UI
OSITO,Los Angeles,Los Angeles,34.0549,-118.2445,7/13/2009,7/14/2009,USFS,304,UI
MAMMOTH,Placer,Last Chance,39.1113,-120.6247,7/16/2009,7/18/2009,CAL FIRE,650,UI
FORK,Inyo,Bishop,37.365,-118.3947,7/18/2009,7/27/2009,USFS,3268,UI
TENNANT,Siskiyou,Yreka,41.7326,-122.6378,7/19/2009,7/27/2009,USFS,3225,UI
KNIGHT,Tuolumne,Tuolumne,37.9608,-120.2375,7/26/2009,8/11/2009,USFS,6130,UI
ASH,Madera,Madera Acres,37.0191,-120.0669,7/27/2009,7/29/2009,CAL FIRE,300,EQUIPMENT
WILDCAT,Tuolumne,Tuolumne,37.9608,-120.2375,7/29/2009,8/31/2009,USFS/NPS,1100,LIGHTNING
PONDEROSA,Monterey,King City,36.2127,-121.1261,8/1/2009,8/7/2009,USFS,458,UI
W-4,Lassen,Susanville,40.4163,-120.6531,8/1/2009,8/7/2009,BLM,1500,LIGHTNING
HAT CREEK COMPLEX,Shasta,Shasta Lake,40.68,-122.3627,8/1/2009,8/12/2009,USFS,11269,LIGHTNING
BROWN (H-31)(Part of HAT CR,Shasta,Shasta Lake,40.68,-122.3627,8/2/2009,8/12/2009,USFS,1000,LIGHTNING
FAIRFIELD,Shasta,Shasta Lake,40.68,-122.3627,8/2/2009,8/21/2009,USFS,1664,LIGHTNING
GOMEZ (SHU COMPLEX),Shasta,Shasta Lake,40.68,-122.3627,8/3/2009,8/17/2009,CAL FIRE,404,LIGHTNING
GOOSE (SHU COMPLEX),Shasta,Shasta Lake,40.68,-122.3627,8/3/2009,8/17/2009,CAL FIRE,3918,LIGHTNING
CASSEL (SHU COMPLEX),Shasta,Shasta Lake,40.68,-122.3627,8/3/2009,8/14/2009,CAL FIRE,6319,LIGHTNING
CHALK (SHU COMPLEX),Shasta,Shasta Lake,40.68,-122.3627,8/3/2009,8/16/2009,CAL FIRE,6895,LIGHTNING
LA BREA,Santa Barbara,Santa Barbara,34.4221,-119.7027,8/8/2009,8/23/2009,USFS,89489,HUMAN
COFFIN,Trinity,Hayfork,40.5543,-123.1831,8/12/2009,8/15/2009,CAL FIRE,1300,HUMAN
LOCKHEED,Santa Cruz,Felton,37.0513,-122.0733,8/12/2009,8/23/2009,CAL FIRE,7817,UI
CORRAL,San Joaquin,Stockton,37.9577,-121.2908,8/13/2009,8/16/2009,CAL FIRE,12200,OTHER
YUBA,Yuba,Yuba City,39.1404,-121.617,8/14/2009,8/24/2009,CAL FIRE,3891,UNDETERMINED
ELEPHANT,Plumas,East Quincy,39.9341,-120.8981,8/16/2009,8/21/2009,USFS,448,UI
RED ROCK,Siskiyou,Yreka,41.7326,-122.6378,8/21/2009,9/4/2009,USFS,1364,HUMAN
MORRIS,Los Angeles,Los Angeles,34.0549,-118.2445,8/25/2009,9/3/2009,USFS,2168,UI
RIDGE,San Diego,San Diego,32.7174,-117.1628,8/26/2009,8/29/2009,MIL,500,UI
BRYSON,Monterey,King City,36.2127,-121.1261,8/26/2009,8/29/2009,CAL FIRE,3383,STRUCTURE (EX
BIG MEADOWS,Mariposa,Yosemite Valley,37.7344,-119.6065,8/26/2009,9/10/2009,USFS,7425,HUMAN
STATION,Los Angeles,Los Angeles,34.0549,-118.2445,8/26/2009,10/16/2009,USFS,160577,HUMAN
DAY,Lassen,Susanville,40.4163,-120.6531,8/27/2009,8/30/2009,CAL FIRE,853,UNDETERMINED
COTTONWOOD,Riverside,Riverside,33.9534,-117.3962,8/27/2009,8/31/2009,USFS,2409,UI
GLORIA,Monterey,King City,36.2127,-121.1261,8/27/2009,9/1/2009,CAL FIRE,6437,EQUIPMENT
PACHECO,Santa Clara,Saratoga,37.2638,-122.0231,8/29/2009,8/30/2009,CAL FIRE,1600,EQUIPMENT
FORTY NINE,Placer,Last Chance,39.1113,-120.6247,8/30/2009,9/1/2009,CAL FIRE,311,ARSON
OAK GLEN III,San Bernardino,San Bernardino,34.1083,-117.2898,8/30/2009,9/8/2009,CAL FIRE,1159,HUMAN
PENDLETON,San Bernardino,San Bernardino,34.1083,-117.2898,8/31/2009,9/4/2009,MIL,860,HUMAN
OASIS,Lake,Lakeport,39.043,-122.9159,9/7/2009,9/12/2009,CAL FIRE,1500,OPEN/OUTDOORS
SILVER,Plumas,East Quincy,39.9341,-120.8981,9/19/2009,9/21/2009,USFS,307,UI
VAIL,Riverside,Riverside,33.9534,-117.3962,9/19/2009,9/20/2009,CAL FIRE,398,EQUIPMENT
GUIBERSON,Ventura,Ventura,34.2783,-119.2932,9/22/2009,10/1/2009,CALFIRE/CC,17500,UI
CRAFTON,San Bernardino,San Bernardino,34.1083,-117.2898,9/23/2009,9/26/2009,CALFIRE,347,UNDETERMINED
POWER,Tulare,Camp Nelson,36.1427,-118.6093,9/27/2009,9/29/2009,USFS,326,UI
SIX (not in nfirs),Yolo,Yolo,38.7318,-121.8078,10/1/2009,10/1/2009,LOCAL,1235,UI
SHEEP,San Bernardino,San Bernardino,34.1083,-117.2898,10/3/2009,10/10/2009,USFS,7128,UI
MILL CREEK #4,Humboldt,Fortuna,40.5974,-124.1561,10/7/2009,10/17/2009,BIA,2750,UI
LOMA,Santa Cruz,Felton,37.0513,-122.0733,10/25/2009,10/27/2009,CAL FIRE,485,UNDETERMINED
HERNRICK VMP,San Luis Obispo,San Luis Obispo,35.2828,-120.6597,11/14/2009,11/14/2009,CAL FIRE,600,DEBRIS
DOE,Glenn,Glenn,39.5218,-122.0139,11/28/2009,11/29/2009,USFS,550,HUMAN
PEDLEY,Riverside,Riverside,33.9534,-117.3962,5/12/2010,5/13/2010,CALFIRE,850,UI
METZEN,Kern,Bakersfield,35.3739,-119.0195,5/15/2010,5/15/2010,CALFIRE/CC,360,OTHER
COTTON,San Luis Obispo,San Luis Obispo,35.2828,-120.6597,5/15/2010,5/17/2010,USFS,2044,UI
MCKINLEY,Riverside,Riverside,33.9534,-117.3962,5/20/2010,5/22/2010,CALFIRE,1000,HUMAN
BALE,Tulare,Camp Nelson,36.1427,-118.6093,6/4/2010,6/4/2010,CALFIRE,485,EQUIPMENT
CHILDS,Merced,Merced,37.303,-120.4844,6/5/2010,6/5/2010,CALFIRE,462,HUMAN
WHITES,Fresno,Fresno,36.7394,-119.7849,6/7/2010,6/7/2010,CALFIRE,350,EQUIPMENT
STUHR,Stanislaus,Modesto,37.6391,-120.9969,6/8/2010,6/10/2010,CALFIRE,586,EQUIPMENT
ROBINSON,Merced,Merced,37.303,-120.4844,6/11/2010,6/12/2010,CALFIRE,1600,UI
DIABLO,Alameda,Pleasanton,37.6624,-121.8747,6/18/2010,6/19/2010,CALFIRE,475,
PALERMO,Butte,Paradise,39.7596,-121.622,7/4/2010,7/5/2010,CALFIRE,900,MISUSE OF FIRE
166,Santa Barbara,Santa Barbara,34.4221,-119.7027,7/12/2010,7/12/2010,CALFIRE/CC,350,UNDETERMINE
ALISO,San Diego,San Diego,32.7174,-117.1628,7/13/2010,7/15/2010,MILITARY/USFS,3225,
SKINNER,Riverside,Riverside,33.9534,-117.3962,7/15/2010,7/18/2010,CALFIRE,503,LIGHTNING
BODFISH,Kern,Bakersfield,35.3739,-119.0195,7/15/2010,7/18/2010,USFS,552,LIGHTNING
CACTUS,Riverside,Riverside,33.9534,-117.3962,7/15/2010,7/18/2010,CALFIRE,720,LIGHTNING
SAND 2,Kern,Bakersfield,35.3739,-119.0195,7/16/2010,7/22/2010,USFS,1254,LIGHTNING
SHEEP,Fresno,Fresno,36.7394,-119.7849,7/16/2010,7/16/2010,NPS,8967,LIGHTNING
INDIAN,Kern,Bakersfield,35.3739,-119.0195,7/18/2010,7/24/2010,USFS,1822,LIGHTNING
PATATO,Mono,Mammoth Lakes,37.6433,-118.9669,7/24/2010,7/27/2010,USFS,686,
SLOPE,Tuolumne,Tuolumne,37.9608,-120.2375,7/25/2010,7/25/2010,NPS,1711,LIGHTNING
MONO,Mono,Mammoth Lakes,37.6433,-118.9669,7/26/2010,7/29/2010,USFS,1205,LIGHTNING
BULL,Kern,Bakersfield,35.3739,-119.0195,7/26/2010,8/10/2010,USFS,16442,HUMAN
WEST,Kern,Bakersfield,35.3739,-119.0195,7/27/2010,8/6/2010,CALFIRE,1650,EQUIPMENT
MCDONALD,Lassen,Susanville,40.4163,-120.6531,7/27/2010,8/10/2010,USFS,9408,LIGHTNING
BRIGGS,Los Angeles,Los Angeles,34.0549,-118.2445,7/29/2010,7/30/2010,USFS,510,UI
CROWN,Los Angeles,Los Angeles,34.0549,-118.2445,7/29/2010,8/3/2010,CALFIRE/CC,14000,UNDETERMINED
DUTCH,Siskiyou,Yreka,41.7326,-122.6378,7/31/2010,8/4/2010,USFS,371,UI
BAR,Plumas,East Quincy,39.9341,-120.8981,7/31/2010,8/10/2010,USFS,1040,UI
BUCKHORN,Madera,Madera Acres,37.0191,-120.0669,8/7/2010,8/7/2010,USFS,466,LIGHTNING
VERNON,Tuolumne,Tuolumne,37.9608,-120.2375,8/8/2010,8/8/2010,NPS,909,LIGHTNING
PINECREST,Tuolumne,Tuolumne,37.9608,-120.2375,8/9/2010,10/15/2010,USFS,799,LIGHTNING
STOKES 2,Tulare,Camp Nelson,36.1427,-118.6093,8/17/2010,8/18/2010,CALFIRE,879,HUMAN
