Fire_Name,County,City,Lat,Lng,Start_Date,End_Date,Agency,Acres,Cause
PETZ,San Joaquin,Stockton,37.9577,-121.2908,6/10/2006,6/10/2006,CDF,335,VEHICLE
STOKES,Tulare,Camp Nelson,36.1427,-118.6093,6/17/2006,6/17/2006,CDF,320,ARSON
PERKINS,Santa Barbara,Santa Barbara,34.4221,-119.7027,6/19/2006,6/26/2006,USFS,14988,HUMAN
W,Tulare,Camp Nelson,36.1427,-118.6093,6/24/2006,6/24/2006,CDF,800,ARSON
OBSERVATION COMPLE,Lassen,Susanville,40.4163,-120.6531,6/25/2006,6/30/2006,BLM,4300,LIGHTNING
MDF-276 MILLER COMPL,Modoc,Alturas,41.4871,-120.5424,6/26/2006,7/3/2006,USFS,300,LIGHTNING
LGT. #17,Modoc,Alturas,41.4871,-120.5424,6/26/2006,6/27/2006,CDF,500,LIGHTNING
LGT #22 (3-9),Lassen,Susanville,40.4163,-120.6531,6/26/2006,6/27/2006,CDF,504,LIGHTNING
CHENEY,Lassen,Susanville,40.4163,-120.6531,6/26/2006,6/27/2006,CDF,600,LIGHTNING
GOODALE,Inyo,Bishop,37.365,-118.3947,6/26/2006,6/29/2006,CDF,3750,LIGHTNING
23-Mar,Modoc,Alturas,41.4871,-120.5424,6/27/2006,6/27/2006,CDF,450,LIGHTNING
BOLLY),Tehama,Red Bluff,40.1785,-122.2359,6/27/2006,6/27/2006,USFS,1247,LIGHTNING
DEL PUERTO,Stanislaus,Modesto,37.6391,-120.9969,6/30/2006,7/3/2006,CDF,2590,DEBRIS
CORRAL,San Joaquin,Stockton,37.9577,-121.2908,7/2/2006,7/2/2006,CDF,460,ARSON
PEDRO,Tuolumne,Tuolumne,37.9608,-120.2375,7/3/2006,7/5/2006,CDF,2000,MISC.
PICO,San Bernardino,San Bernardino,34.1083,-117.2898,7/6/2006,7/7/2006,LOCAL,420,UI
KINGSTON,San Bernardino,San Bernardino,34.1083,-117.2898,7/6/2006,7/12/2006,CDF,488,LIGHTNING
PUSHWALLA COMPLEX,Riverside,Riverside,33.9534,-117.3962,7/7/2006,7/10/2006,USFS,2000,LIGHTNING
ARCO,Kern,Bakersfield,35.3739,-119.0195,7/9/2006,7/12/2006,CDF,698,UI
MDF-242 (HAPPY COMP,Modoc,Alturas,41.4871,-120.5424,7/9/2006,7/9/2006,USFS,1780,LIGHTNING
MILLARD FIRE ASSIST,Riverside,Riverside,33.9534,-117.3962,7/9/2006,7/9/2006,USFS,24210,LIGHTNING
CANYON,Stanislaus,Modesto,37.6391,-120.9969,7/9/2006,7/17/2006,CDF,34000,EQUIP. USE
